Company,Nights,Room_Revenue,ADR,Revenue_Pct
  TRAVELOGY INDIA PVT LTD,2,10720.34,5360.17,0.13
  TRAVELOKAM HOLIDAYS,2,10720.34,5360.17,0.13
  JOURNEYS UNFOLDED,2,10720.34,5360.17,0.13
  ABSOLUTE LEISURE INTERNATIONAL,2,10449.14,5224.57,0.12
  TripSailer.Com,2,10254.24,5127.12,0.12
  TRAVEL CORPORATION (INDIA) LIMITED - COCHIN,2,9788.12,4894.06,0.12
  BACKPACK HOLIDAYZ,2,9152.54,4576.27,0.11
  GLOBES TRAVEL,2,8845.24,4422.62,0.1
  TOUR MY INDIA PRIVATE LIMITED,1,7923.72,7923.72,0.09
  INDUS HOLIDAYS,1,7457.63,7457.63,0.09
  JAI MARUTI HOLIDAYS TOURS & TRAVELS,1,6991.52,6991.52,0.08
  ACHUS TOURS,1,5360.17,5360.17,0.06
  KERALA TRAVELS INTERSERVE,1,5148.3,5148.3,0.06
  INDREADHANUSH HOLIDAYS,1,5148.3,5148.3,0.06
  JOURNEYMART .COM,1,5127.12,5127.12,0.06
  GO AROUND THE GLOBE TRAVEL DAYS PVT .LTD,1,4935.59,4935.59,0.06
  KADUNA HOSPITALITY P LTD,1,4766.95,4766.95,0.06
  MY YATRA,1,4194.91,4194.91,0.05
