Room_Type,Nights,Room_Revenue,ARR,Revenue_Pct
Banyan Suite,584.0,3813848.98,6530.56,27.8
Cypress Suite,583.0,3430512.69,5884.24,25.0
Cypress Suite With Deck,504.0,3098291.4,6147.4,22.58
Banyan Suite With Deck,426.0,3063731.16,7191.86,22.33
