Country,Nights,Room_Revenue,ARR,Revenue_Pct
INDIA,2079.0,13580264.98,6532.11,98.98
UNITED STATES,9.0,70147.35,7794.15,0.51
IRELAND,3.0,28916.01,9638.67,0.21
CHINA,2.0,16277.12,8138.56,0.12
AUSTRALIA,2.0,14537.9,7268.95,0.11
ISRAEL,2.0,10000.0,5000.0,0.07
